Model,Mean Identity,Std Identity,Mean Alignment Length,Std Alignment Length,Mean Bit Score,Std Bit Score,Mean -log10(E-value),Std -log10(E-value)
gill_randinit,58.035909999999994,5.602539651077893,60.97,3.2510152260486262,71.31099999999999,8.677360140042593,11.806126645483257,3.16263723433675
gill_initseq,57.27795918367347,6.557718949044747,54.57142857142857,8.256104729599937,62.8642857142857,13.223010633138037,8.798831591169979,4.688684766900006
mc_randinit,61.752812500000005,7.15066864197634,61.791666666666664,3.0066477272130765,76.96145833333334,12.963437122921164,13.888507543401241,4.692183143048717
mc_initseq,63.80078787878788,6.947424421058334,61.292929292929294,2.9206769841092592,80.44141414141413,11.85229816270152,15.051165510247069,4.2986557318499905
plm_randinit,64.85457575757576,6.800920420611692,61.878787878787875,2.001376936479802,81.94141414141414,11.90742074117123,15.727338152170347,4.246494183777109
plm_initseq,65.28342424242423,6.305142336270009,61.64646464646464,2.6526644935643096,82.01111111111112,10.152263905247722,15.776927683590106,3.739957778624883
